,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q30,Q31,Q32,Q33,Q34,Q35,Q36,Q37,Q38,Q39,observing,describing,accepting,acting,age,gender,age group
39,Often true (4),Sometimes true (3),Sometimes true (3),Often true (4),Sometimes true (3),Very often or always true (5),Sometimes true (3),Never or very rarely true (1),Sometimes true (3),Very often or always true (5),Very often or always true (5),Never or very rarely true (1),Sometimes true (3),Often true (4),Often true (4),Rarely true (2),Very often or always true (5),Often true (4),Sometimes true (3),Rarely true (2),Sometimes true (3),Very often or always true (5),Very often or always true (5),Sometimes true (3),Often true (4),Sometimes true (3),Never or very rarely true (1),Rarely true (2),Very often or always true (5),Sometimes true (3),Often true (4),Rarely true (2),Often true (4),Often true (4),Rarely true (2),Rarely true (2),Often true (4),Sometimes true (3),Often true (4),3.8,4.1,2.1,3.3,34,female,early adulthood
40,Sometimes true (3),Very often or always true (5),Rarely true (2),Sometimes true (3),Sometimes true (3),Often true (4),Rarely true (2),Rarely true (2),Rarely true (2),Sometimes true (3),Rarely true (2),Rarely true (2),Rarely true (2),Sometimes true (3),Rarely true (2),Rarely true (2),Rarely true (2),Sometimes true (3),Rarely true (2),Sometimes true (3),Rarely true (2),Sometimes true (3),Rarely true (2),Rarely true (2),Rarely true (2),Often true (4),Rarely true (2),Sometimes true (3),Sometimes true (3),Often true (4),Rarely true (2),Rarely true (2),Sometimes true (3),Often true (4),Rarely true (2),Often true (4),Sometimes true (3),Rarely true (2),Often true (4),2.8,3.6,2.6,2.0,50,female,late middle age
41,Sometimes true (3),Rarely true (2),Rarely true (2),Sometimes true (3),Sometimes true (3),Rarely true (2),Rarely true (2),Sometimes true (3),Rarely true (2),Rarely true (2),Rarely true (2),Sometimes true (3),Sometimes true (3),Sometimes true (3),Often true (4),Sometimes true (3),Sometimes true (3),Rarely true (2),Often true (4),Sometimes true (3),Sometimes true (3),Often true (4),Sometimes true (3),Sometimes true (3),Sometimes true (3),Rarely true (2),Rarely true (2),Sometimes true (3),Often true (4),Often true (4),Rarely true (2),Sometimes true (3),Sometimes true (3),Rarely true (2),Sometimes true (3),Sometimes true (3),Sometimes true (3),Often true (4),Sometimes true (3),3.1,2.4,3.0,2.8,47,male,late middle age
42,Often true (4),Rarely true (2),Sometimes true (3),Often true (4),Never or very rarely true (1),Often true (4),Very often or always true (5),Rarely true (2),Never or very rarely true (1),Sometimes true (3),Rarely true (2),Often true (4),Never or very rarely true (1),Often true (4),Very often or always true (5),Very often or always true (5),Never or very rarely true (1),Often true (4),Often true (4),Often true (4),Never or very rarely true (1),Often true (4),Very often or always true (5),Often true (4),Very often or always true (5),Sometimes true (3),Rarely true (2),Often true (4),Very often or always true (5),Rarely true (2),Often true (4),Very often or always true (5),Sometimes true (3),Often true (4),Often true (4),Very often or always true (5),Rarely true (2),Very often or always true (5),Sometimes true (3),2.5,3.5,4.1,3.9,44,female,early middle age
43,Often true (4),Rarely true (2),Never or very rarely true (1),Sometimes true (3),Sometimes true (3),Sometimes true (3),Never or very rarely true (1),Never or very rarely true (1),Never or very rarely true (1),Often true (4),Rarely true (2),Rarely true (2),Never or very rarely true (1),Sometimes true (3),Never or very rarely true (1),Rarely true (2),Never or very rarely true (1),Sometimes true (3),Rarely true (2),Rarely true (2),Sometimes true (3),Sometimes true (3),Never or very rarely true (1),Never or very rarely true (1),Often true (4),Sometimes true (3),Never or very rarely true (1),Rarely true (2),Often true (4),Rarely true (2),Sometimes true (3),Often true (4),Very often or always true (5),Rarely true (2),Never or very rarely true (1),Never or very rarely true (1),Often true (4),Sometimes true (3),Sometimes true (3),2.9,2.9,2.0,1.6,32,male,early adulthood
44,Very often or always true (5),Often true (4),Never or very rarely true (1),Often true (4),Often true (4),Often true (4),Rarely true (2),Never or very rarely true (1),Often true (4),Very often or always true (5),Sometimes true (3),Often true (4),Often true (4),Often true (4),Rarely true (2),Often true (4),Rarely true (2),Often true (4),Rarely true (2),Very often or always true (5),Often true (4),Often true (4),Sometimes true (3),Often true (4),Often true (4),Often true (4),Rarely true (2),Very often or always true (5),Often true (4),Often true (4),Rarely true (2),Very often or always true (5),Very often or always true (5),Sometimes true (3),Rarely true (2),Very often or always true (5),Often true (4),Never or very rarely true (1),Often true (4),4.0,4.0,4.1,2.0,26,female,early adulthood
45,Very often or always true (5),Sometimes true (3),Rarely true (2),Rarely true (2),Sometimes true (3),Often true (4),Often true (4),Rarely true (2),Rarely true (2),Rarely true (2),Sometimes true (3),Sometimes true (3),Often true (4),Rarely true (2),Often true (4),Sometimes true (3),Often true (4),Sometimes true (3),Often true (4),Sometimes true (3),Rarely true (2),Rarely true (2),Often true (4),Rarely true (2),Never or very rarely true (1),Rarely true (2),Never or very rarely true (1),Sometimes true (3),Sometimes true (3),Sometimes true (3),Rarely true (2),Sometimes true (3),Rarely true (2),Rarely true (2),Rarely true (2),Often true (4),Often true (4),Often true (4),Often true (4),3.2,2.5,2.8,3.0,28,male,early adulthood
46,Very often or always true (5),Very often or always true (5),Sometimes true (3),Sometimes true (3),Very often or always true (5),Very often or always true (5),Very often or always true (5),Rarely true (2),Very often or always true (5),Very often or always true (5),Often true (4),Rarely true (2),Very often or always true (5),Very often or always true (5),Very often or always true (5),Sometimes true (3),Rarely true (2),Often true (4),Very often or always true (5),Often true (4),Very often or always true (5),Very often or always true (5),Often true (4),Very often or always true (5),Very often or always true (5),Very often or always true (5),Rarely true (2),Sometimes true (3),Very often or always true (5),Often true (4),Often true (4),Often true (4),Often true (4),Sometimes true (3),Never or very rarely true (1),Never or very rarely true (1),Very often or always true (5),Very often or always true (5),Very often or always true (5),4.5,4.6,3.0,3.8,40,male,early middle age
47,Sometimes true (3),Often true (4),,Sometimes true (3),Sometimes true (3),Often true (4),Often true (4),Sometimes true (3),Sometimes true (3),Often true (4),Sometimes true (3),,Often true (4),Often true (4),Often true (4),Often true (4),Rarely true (2),Often true (4),,Rarely true (2),Sometimes true (3),Often true (4),Often true (4),Often true (4),Often true (4),Often true (4),Often true (4),Sometimes true (3),Often true (4),Rarely true (2),Often true (4),Sometimes true (3),Often true (4),Rarely true (2),Often true (4),Sometimes true (3),Often true (4),Sometimes true (3),Sometimes true (3),3.3,3.8,,,49,male,late middle age
48,Rarely true (2),Sometimes true (3),Never or very rarely true (1),Rarely true (2),Sometimes true (3),Rarely true (2),Rarely true (2),Rarely true (2),Often true (4),Sometimes true (3),Rarely true (2),Rarely true (2),Sometimes true (3),Rarely true (2),Sometimes true (3),Never or very rarely true (1),Sometimes true (3),Sometimes true (3),Rarely true (2),Never or very rarely true (1),Very often or always true (5),Rarely true (2),Never or very rarely true (1),Never or very rarely true (1),Often true (4),Never or very rarely true (1),Rarely true (2),Never or very rarely true (1),Often true (4),Rarely true (2),Never or very rarely true (1),Never or very rarely true (1),Often true (4),Rarely true (2),Sometimes true (3),Never or very rarely true (1),Sometimes true (3),Rarely true (2),Rarely true (2),3.1,2.2,1.3,1.9,25,male,early adulthood
49,Very often or always true (5),Very often or always true (5),Rarely true (2),Never or very rarely true (1),Often true (4),Very often or always true (5),Very often or always true (5),Never or very rarely true (1),Often true (4),Very often or always true (5),Rarely true (2),Often true (4),Often true (4),Very often or always true (5),Very often or always true (5),Often true (4),Very often or always true (5),Often true (4),Often true (4),Sometimes true (3),Very often or always true (5),Often true (4),Often true (4),Very often or always true (5),Very often or always true (5),Very often or always true (5),Never or very rarely true (1),Sometimes true (3),Very often or always true (5),Very often or always true (5),Sometimes true (3),Often true (4),Very often or always true (5),Very often or always true (5),Often true (4),Often true (4),Very often or always true (5),Very often or always true (5),Very often or always true (5),4.7,4.8,3.2,3.5,31,female,early adulthood
50,Sometimes true (3),Often true (4),Sometimes true (3),Rarely true (2),Rarely true (2),Often true (4),Rarely true (2),Sometimes true (3),Often true (4),Often true (4),Sometimes true (3),Rarely true (2),Sometimes true (3),Often true (4),Sometimes true (3),Sometimes true (3),Often true (4),Sometimes true (3),Rarely true (2),Rarely true (2),Sometimes true (3),Rarely true (2),,Very often or always true (5),Often true (4),Sometimes true (3),Sometimes true (3),Rarely true (2),Often true (4),Sometimes true (3),Often true (4),Very often or always true (5),Sometimes true (3),Rarely true (2),Rarely true (2),Sometimes true (3),Often true (4),Rarely true (2),Sometimes true (3),3.4,3.2,3.0,,18,male,adolescence
51,Very often or always true (5),Often true (4),Sometimes true (3),Often true (4),Often true (4),Often true (4),Sometimes true (3),Often true (4),Often true (4),Often true (4),Sometimes true (3),Very often or always true (5),Very often or always true (5),Often true (4),Often true (4),Often true (4),Often true (4),Often true (4),Sometimes true (3),Often true (4),Very often or always true (5),Often true (4),Sometimes true (3),Often true (4),Sometimes true (3),Often true (4),Rarely true (2),Very often or always true (5),Often true (4),Sometimes true (3),Rarely true (2),Very often or always true (5),Very often or always true (5),Often true (4),Sometimes true (3),Often true (4),Often true (4),Often true (4),Often true (4),4.1,4.0,4.3,3.0,44,male,early middle age
52,Often true (4),Sometimes true (3),Rarely true (2),Rarely true (2),Often true (4),Sometimes true (3),Sometimes true (3),Rarely true (2),Sometimes true (3),Sometimes true (3),Sometimes true (3),Rarely true (2),Sometimes true (3),Rarely true (2),Often true (4),Rarely true (2),Often true (4),Rarely true (2),Sometimes true (3),Rarely true (2),Often true (4),Rarely true (2),Sometimes true (3),Sometimes true (3),Very often or always true (5),Rarely true (2),Never or very rarely true (1),Rarely true (2),Very often or always true (5),Often true (4),Rarely true (2),Often true (4),Often true (4),Sometimes true (3),Sometimes true (3),Often true (4),Rarely true (2),Sometimes true (3),Often true (4),3.8,2.5,2.6,2.7,15,male,adolescence
53,Sometimes true (3),Often true (4),Rarely true (2),Sometimes true (3),Sometimes true (3),Often true (4),Sometimes true (3),Rarely true (2),Sometimes true (3),Often true (4),Sometimes true (3),Often true (4),,Often true (4),Very often or always true (5),Very often or always true (5),Sometimes true (3),Sometimes true (3),Often true (4),Often true (4),Often true (4),Often true (4),Often true (4),Often true (4),Often true (4),Often true (4),Often true (4),Often true (4),Very often or always true (5),Often true (4),Never or very rarely true (1),Very often or always true (5),Often true (4),Sometimes true (3),Sometimes true (3),Often true (4),Very often or always true (5),Often true (4),Often true (4),3.5,3.8,3.9,3.3,40,female,early middle age
54,Sometimes true (3),Very often or always true (5),Sometimes true (3),Often true (4),Often true (4),Often true (4),Very often or always true (5),Rarely true (2),Very often or always true (5),Very often or always true (5),Sometimes true (3),Often true (4),Very often or always true (5),Sometimes true (3),Very often or always true (5),Very often or always true (5),Often true (4),Very often or always true (5),Very often or always true (5),Very often or always true (5),Very often or always true (5),Very often or always true (5),Sometimes true (3),Very often or always true (5),Very often or always true (5),Very often or always true (5),Often true (4),Very often or always true (5),Very often or always true (5),Sometimes true (3),Very often or always true (5),Very often or always true (5),Very often or always true (5),Very often or always true (5),Sometimes true (3),Very often or always true (5),Very often or always true (5),Very often or always true (5),Very often or always true (5),4.5,4.6,4.4,4.1,49,female,late middle age
